"","description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl"
"cali_wolf","Sicangu Lakota | Reclaiming my identity",4847,573,5276,446,"https://t.co/EJS4eDU8of","Cali",2014-05-13 04:01:25,FALSE,FALSE,"cali_wolf","Denver, CO","en","2544441472",7,FALSE,"http://pbs.twimg.com/profile_images/966202095161544706/XNr5XO2O_normal.jpg"
"tamer_davi","Troque decep√ß√£o por trabalho e f√© Ì†ΩÌπèÌ†ΩÌ≤õ",7211,696,4024,640,"https://t.co/B7JFasDpI1","tamer",2017-01-04 00:27:06,FALSE,FALSE,"tamer_davi","027","pt","816440783637245952",0,FALSE,"http://pbs.twimg.com/profile_images/963842585910566919/3Jzh5Wao_normal.jpg"
"mthomson2008","Hi I'm Kirsty was a full time carer for my dear sweet Mam I love music Cher abba Dolly Parton def Leppard I love not hate stand up for what I believe in ‚ù§Ô∏è",52240,2721,51698,3598,NA,"Kirsty Anne Thomson",2012-06-03 22:32:44,FALSE,FALSE,"mthomson2008","ENGLAND","en","598719775",35,FALSE,"http://pbs.twimg.com/profile_images/896909396285980672/OL6NBWid_normal.jpg"
"bzeeble","Reporter at NPR affiliate KERA, Dallas. Focused on education, but not exclusively",4563,1117,152,447,NA,"BILL ZEEBLE",2011-08-22 17:05:47,FALSE,TRUE,"bzeeble","","en","360076976",44,FALSE,"http://pbs.twimg.com/profile_images/3690283670/b8315a57e533dd69984719bc291ebd24_normal.jpeg"
"9GDyce","#FreeDaPbÌ†ºÌΩÄ #9G4LÌ†ΩÌ∏à #LLJFÌ†ΩÌ∂§#LLToodyÌ†ΩÌ∂§",20618,1551,2882,727,NA,"woodland babyÌ†ΩÌ≤∞",2014-02-23 17:51:30,FALSE,FALSE,"9GDyce","","en","2361271871",1,FALSE,"http://pbs.twimg.com/profile_images/969044880264761346/6atCuyM__normal.jpg"
"dsmith_flu","",38,42,630,5,NA,"Ludwig Van",2009-08-12 13:18:15,FALSE,FALSE,"dsmith_flu","","pt","65032288",0,FALSE,"http://pbs.twimg.com/profile_images/624612708420222976/x2pUFyJI_normal.jpg"
"Gray_Bossinova","CEO @NSMG_TGU| OIF-OEF VET | B.S. CJ  EM/HS |A&R @ #NotoriousReKordz| TEXSAR| MGR(Ì†ΩÌ¥å)| GLGÌ†ΩÌ∞êÌ†æÌ¥û| SEND YOUR MUSIC‚ùóÔ∏è| Pres. @zetaalphaiota & @Streetsmart365",31771,2087,4244,1439,"https://t.co/nVI9pIho54","Gray_BossinovaÌ†ΩÌ¥å",2009-04-14 11:19:31,FALSE,FALSE,"Gray_Bossinova","NJ | ATL | ATX","en","31100503",23,FALSE,"http://pbs.twimg.com/profile_images/926950021093838849/UJegPomd_normal.jpg"
"barbara_orourke","",16077,197,4864,192,NA,"Barbara O'Rourke",2012-02-12 13:53:34,FALSE,FALSE,"barbara_orourke","ottawa","en","490366614",17,FALSE,"http://pbs.twimg.com/profile_images/705908171395735553/Cfmvspxy_normal.jpg"
"wbohon","Geology PhD | Social Media Manager | @500womensci Leadership Board | Twin Blogger",3854,908,11310,487,NA,"Wendy Bohon",2011-08-10 15:21:53,FALSE,FALSE,"wbohon","Maryland, USA","en","352395807",35,FALSE,"http://pbs.twimg.com/profile_images/3462062855/42cfa4b04a446fd7bd539912fde45a97_normal.jpeg"
"PharmaNemesis","Science & Nature. Do No Harm. BHSc MHerbMed University of Sydney Naturopath. Pharma Kills. Plants Heal.",25972,1223,43835,1292,"https://t.co/oi5W6zGAEY","Dr Phyto",2016-06-02 01:45:21,FALSE,FALSE,"PharmaNemesis","Australia","en","738184695599357953",51,FALSE,"http://pbs.twimg.com/profile_images/898645498298499073/_uBH1A7b_normal.jpg"
"ChicagoSchlager","The Chicago Schlager Music Review. 

America's only site to showcase schlager music, primarily from Germany, Austria and Switzerland. http://t.co/89c44TnyDD",9398,1127,3386,971,"http://t.co/8ff2uGrQZt","Chicago Schlager",2011-08-29 16:40:28,FALSE,FALSE,"ChicagoSchlager","Chicago, IL, USA","en","364351131",16,FALSE,"http://pbs.twimg.com/profile_images/523575451235545089/6g-yDoHF_normal.png"
"StillArchPhoto","Designer",3679,25,8,146,"https://t.co/Tb3iUBHIJQ","Julian Andrade",2012-04-06 19:49:35,FALSE,FALSE,"StillArchPhoto","Sacramento, CA","en","547061918",0,FALSE,"http://pbs.twimg.com/profile_images/888427944946814976/ingKC8J8_normal.jpg"
"Must_Be_Tiipp","Ì†ºÌµ±Ô∏èDay January 3, 1996 Snapchat Tiippb 21 With No Kids Carlie Ì†ΩÌ≤ïÌ†ΩÌ±Ø‚Äç‚ôÄÔ∏èAiden Tt Baby Ì†ΩÌ≤ôÌ†æÌ¥ûÌ†ºÌøΩÌ†ΩÌ≤ô Kyleigh Ì†ΩÌ≤óÌ†ΩÌ≤ó king‚ù§Ô∏è‚ù§Ô∏è",7893,256,2516,357,NA,"_Tip_‚ú®Ì†ΩÌ≤É",2014-11-07 01:10:26,FALSE,FALSE,"Must_Be_Tiipp","Benson, NC","en","2864916634",3,FALSE,"http://pbs.twimg.com/profile_images/969503015328763904/YAZKLrzn_normal.jpg"
"baubo","boomer who did not vote for Trump (ew ew ew). resisting for free in my spare time.  my kids are millennials. they can eat all the avocados they want.",16393,139,24222,222,NA,"My daughter's a doctor!",2009-02-20 23:03:52,FALSE,FALSE,"baubo","","en","21444316",18,FALSE,"http://pbs.twimg.com/profile_images/1229247955/A_really_beautiful_book_cover_-_small_and_squarer_normal.jpg"
"MeganOCO","Southern Ontario/AcrossCanada",207,299,8225,374,NA,"Megan O",2010-01-20 16:07:45,FALSE,FALSE,"MeganOCO","","en","106756900",15,FALSE,"http://pbs.twimg.com/profile_images/925834621534617600/dWOWEs-2_normal.jpg"
"Justin_Inch","Follow me on instagram: @justin_baeringer ‚öæ‚öæ‚öæ",2183,284,903,297,NA,"Justin Baeringer",2011-08-23 14:35:09,FALSE,FALSE,"Justin_Inch","","en","360634767",0,FALSE,"http://pbs.twimg.com/profile_images/950196305426599937/k-N7grUo_normal.jpg"
"thinkalot","Trying to live a life of reflection & right action


Doctor. Reader. Walker. Writer. Cook.
Assoc.Editor ACP JC FreshAirFiendYogiMomNewsJunkie",109123,3275,47166,3260,NA,"Madhu‚öïÔ∏è #BoycottTheNRAÌ†ΩÌ∫´",2009-03-29 22:47:14,FALSE,FALSE,"thinkalot","I'm a rolling stone..","en","27523651",462,FALSE,"http://pbs.twimg.com/profile_images/963193500778008576/lBKZlQZs_normal.jpg"
"AndriBarroos","@FluminenseFC Ì†ºÌ∑ÆÌ†ºÌ∑π‚ù§Ì†ΩÌ≤ö  Aquariana ‚ôí",3112,315,7171,521,NA,"AAAAAAAA",2017-02-22 01:40:19,FALSE,FALSE,"AndriBarroos","Ilha Grande, Brasil","pt","834216215950286848",0,FALSE,"http://pbs.twimg.com/profile_images/970492312403968000/xJEqf-Vo_normal.jpg"
"guitarenchi","guitarenchi on .COM || i love to eat so pls drop me food on the way ‚ù§Ô∏èÌ†ºÌº∏",7235,568,1547,1004,"https://t.co/DXoRfyJ6ZP","Ì†ºÌΩá guidar heh Ì†ºÌΩá",2011-01-06 10:56:35,FALSE,FALSE,"guitarenchi","+65","en","234708059",5,FALSE,"http://pbs.twimg.com/profile_images/844137212610400256/X0BNNPM1_normal.jpg"
"atamichaella","You have to be odd to be number one ~ Dr. Seuss ‚ú®",32481,2610,100,392,"https://t.co/PyBZVJv2rQ","Ata Michaella",2009-06-28 16:35:30,FALSE,FALSE,"atamichaella","√úT: -6.187464,106.733645","en","51771570",11,FALSE,"http://pbs.twimg.com/profile_images/947248835939655680/HIO5N7XL_normal.jpg"
"alessandrosabin","",19863,357,9813,2020,"http://t.co/o20u9k8uNc","Alessandro Sabino",2009-08-09 14:12:57,FALSE,FALSE,"alessandrosabin","Rio de Janeiro","pt","64179875",2,FALSE,"http://pbs.twimg.com/profile_images/378800000446839973/3d489eaf786580050da60b8493ffbaf6_normal.jpeg"
"iagosilva118","Hablas comigo",7598,672,4676,1555,NA,"iag√∏ vict√∏r",2016-01-26 00:13:44,FALSE,FALSE,"iagosilva118","","en","4847433317",0,FALSE,"http://pbs.twimg.com/profile_images/968928060115472385/NiLzNXYU_normal.jpg"
"limanews","The Lima (Ohio) News, a daily newspaper covering nine counties in northwest Ohio.",101855,6676,2,1323,"http://t.co/hQQytgNeq1","limanews",2008-11-20 02:37:42,FALSE,FALSE,"limanews","Lima, OH","en","17502336",158,FALSE,"http://pbs.twimg.com/profile_images/2310625400/aitam9pzu77f0rrpwi4y_normal.jpeg"
"vovolifestyle","Vovo is passion, Vovo is fashion and style. Vovo is above all else an attitude that encompasses fun, good humour, good taste and a zest for life - Vovo is Vovo",66659,5155,1082,743,NA,"Vovo Lifestyle",2010-05-01 05:19:56,FALSE,FALSE,"vovolifestyle","London, England","en","138977572",145,FALSE,"http://pbs.twimg.com/profile_images/701756189114118144/jVMYwH9N_normal.jpg"
"nara_flu","@FluminenseFC  
 
somos colecionadores de decep√ß√£o Ì†ΩÌ∑Ç",4314,253,1215,354,NA,"se p√µe no teu lugar",2018-01-25 22:14:00,FALSE,FALSE,"nara_flu","","pt","956651394349617152",0,FALSE,"http://pbs.twimg.com/profile_images/969797164506501120/N18Qbjbt_normal.jpg"
"pro_aktv","I care - about most everything - probably way too much. Always wanted to stowaway on a freight train. I waited 4 Bernie my whole life. I‚Äôm done. #BanFrackingNow",52052,1588,65200,2190,NA,"Donna Fasa",2016-03-11 12:55:37,FALSE,FALSE,"pro_aktv","","en","708275182381694976",193,FALSE,"http://pbs.twimg.com/profile_images/929575940677623808/hyIPWB_a_normal.jpg"
"KarliMarli98","I'm a big girl with even bigger dreams.",1717,318,1590,482,NA,"Karli Baker",2012-06-29 22:58:27,FALSE,FALSE,"KarliMarli98","","en","622308479",1,FALSE,"http://pbs.twimg.com/profile_images/962873850475118594/1dnYT8uM_normal.jpg"
"Marirflu","Fascina pela sua disciplina o Fluminense me domina!  Instagram: marirflu",53904,2019,36496,1139,NA,"Mar√≠lia",2010-05-05 19:55:34,FALSE,FALSE,"Marirflu","Fluminense Football Club","pt","140549519",39,FALSE,"http://pbs.twimg.com/profile_images/970605905648766976/xzAN7EEd_normal.jpg"
"4dedos__","doce de batata nico",23422,492,453,238,NA,"nico",2012-02-28 01:59:28,FALSE,FALSE,"4dedos__","","pt","506715273",0,FALSE,"http://pbs.twimg.com/profile_images/953578826382106626/crooSz2V_normal.jpg"
"Algaiti2","",611,1982,1856,1919,NA,"Algaiti",2018-02-06 00:57:46,FALSE,FALSE,"Algaiti2","","en","960678873988939778",1,FALSE,"http://pbs.twimg.com/profile_images/965434088147468288/630BJGQ1_normal.jpg"
"MarieAnneLeCler","Seeking to explore life and the universe. #Writing #Science #Medicine #GeneEditing #AI #Physics #LHC #Environment #Ecology #Geopolitics #NoNukes No DMs",99822,8592,130479,7972,"https://t.co/fBbQP0KK5j","Marie-Anne Le Clerc",2013-07-22 09:13:57,FALSE,FALSE,"MarieAnneLeCler","Australia ","en","1612417466",859,FALSE,"http://pbs.twimg.com/profile_images/965362559665647617/_e4dywNG_normal.jpg"
"anavalverdec","SnapÌ†ΩÌ±ª: valverde_ana99
| Instagram: ana99valverde
| Facebook: Aninha Valverde
| @FluminenseFC",139691,3407,132174,1928,"https://t.co/0AfMsRgAxI","3 dias Ì†ΩÌ±èÌ†ºÌæÇ",2013-10-22 19:32:32,FALSE,FALSE,"anavalverdec","IAPI","pt","2149600429",13,FALSE,"http://pbs.twimg.com/profile_images/970751396990636033/CHEhvUKR_normal.jpg"
"_abakaniceva","Created to overcome ‚úäÌ†ºÌøΩ| Browny Ì†ΩÌ∞ï |",10736,218,4082,208,NA,"Ì†ºÌΩÉ",2011-09-11 03:24:29,FALSE,FALSE,"_abakaniceva","Fiji","en","371570383",1,FALSE,"http://pbs.twimg.com/profile_images/967159835845263360/homQVRNE_normal.jpg"
"wendelffc1","Fluminense Football Club Ì†ΩÌ≤ö‚ù§Ô∏è Futuro Fuzileiro ‚öì ‚è≥ 17y @Cristiano @realmadrid @cw_spn",88224,1799,8065,991,NA,"del",2013-05-31 14:47:50,FALSE,FALSE,"wendelffc1","Penha Circular, Rio de Janeiro","pt","1472350801",7,FALSE,"http://pbs.twimg.com/profile_images/970119036486012928/aZErCuDe_normal.jpg"
"DonnaChaffins","Professional Marketing and Content Creator, Brand Ambassador, Social Media Influencer, Freelancer, wife & mom, and a huge coffee lover.",210921,110629,10056,92734,"http://t.co/EPRzQzGBmf","DonnaChaffins",2008-03-27 03:55:03,FALSE,FALSE,"DonnaChaffins","Knoxville, TN","en","14232619",3116,FALSE,"http://pbs.twimg.com/profile_images/887884447265284096/Q_pKVEu__normal.jpg"
"dalethyy","Um sentimento verde, branco e gren√° ‚ô•Ô∏èÌ†ΩÌ≤ö",5877,329,2439,280,NA,"D√°lethy Almeida",2013-07-17 18:14:50,FALSE,FALSE,"dalethyy","Rio de Janeiro, Brasil","pt","1601510310",0,FALSE,"http://pbs.twimg.com/profile_images/964981200338210816/7FHfjayO_normal.jpg"
"healthydriven","We are @EdwardHospital, @ElmhurstHealth, and Linden Oaks Behavioral Health and we are HEALTHY DRIVEN. FB: https://t.co/Qrg2ZPmZpQ IG: https://t.co/PoYntcm8aX",7572,1479,3243,2572,"https://t.co/K0llsDkRvx","Healthy Driven",2013-10-15 20:10:31,FALSE,FALSE,"healthydriven","Naperville and Elmhurst","en","1963272972",60,FALSE,"http://pbs.twimg.com/profile_images/686926326108835840/DJDX595N_normal.png"
"NAPNAP","NAPNAP is committed to improving the health care of infants, children, adolescents & young adults.
Articles shared provide newsworthy child health & safety info",3661,2532,208,77,"https://t.co/bbB2T0whYf","NAPNAP",2009-07-13 19:28:07,FALSE,FALSE,"NAPNAP","New York","en","56467444",86,FALSE,"http://pbs.twimg.com/profile_images/378800000660084813/c3d21194d0598adca2799e7252d56250_normal.jpeg"
"car_men_perez_","",2832,466,4966,438,"https://t.co/QKgo1Qc2eJ","carmen perez",2013-11-29 21:09:52,FALSE,FALSE,"car_men_perez_","De Witt, IA","en","2222032698",2,FALSE,"http://pbs.twimg.com/profile_images/957398730289897472/SyX4V5mf_normal.jpg"
"WellnessCtr101","Better Health - Naturally.  We inspire and empower you to take control of your own health.",21,2,1,65,"https://t.co/YAhCxl9d6R","Wellness Center 101",2017-11-16 02:08:32,FALSE,FALSE,"WellnessCtr101","United States","en","930980875361284102",0,FALSE,"http://pbs.twimg.com/profile_images/930981791682498560/oWsjqfo__normal.jpg"
"acnora1223","lives on the east coast always plays roblox part of the crabby brunch and loves minecraft. Boston is my home!",954,57,3757,132,"https://t.co/iRxjvUoC9p","Nora",2016-09-23 00:29:24,FALSE,FALSE,"acnora1223","Boston, MA","en","779115411619061764",1,FALSE,"http://pbs.twimg.com/profile_images/970440919756431360/oXI5biNe_normal.jpg"
"emily_langille","I was dog sitting once and lost the dogs",4764,436,4707,282,NA,"Emily Langille",2012-02-29 20:58:34,FALSE,FALSE,"emily_langille","","en","509233200",0,FALSE,"http://pbs.twimg.com/profile_images/958516436045099009/Pbu0cbCj_normal.jpg"
"JoylKendrick1","I like poetry, southern gospel, country music, & The Voice.",275,16,291,32,NA,"Joyl Kendrick",2018-02-27 01:38:45,FALSE,FALSE,"JoylKendrick1","Fort Smith, AR","en","968299332700123136",0,FALSE,"http://pbs.twimg.com/profile_images/968316366909517825/yxtaWReO_normal.jpg"
"davidschull","President of Russo Partners, integrated healthcare communications agency",19749,9268,30484,6457,"https://t.co/bUionhenFL","David Schull",2011-03-24 18:18:58,FALSE,FALSE,"davidschull","New York City","en","271536707",189,FALSE,"http://pbs.twimg.com/profile_images/756953710320717825/fn8bAi3K_normal.jpg"
"Jvt_OTricolor","24 ‚Ä¢ Niter√≥i ‚Ä¢ Fluminense FC",13349,5687,10362,4215,NA,"Jo√£o Victor Tavares",2016-01-18 23:41:36,FALSE,FALSE,"Jvt_OTricolor","","pt","4825705641",14,FALSE,"http://pbs.twimg.com/profile_images/960636847759257600/TCKw3wiz_normal.jpg"
"CTVNews","Tweeting breaking news from CTVNews.ca in the CTV National newsroom. RTs do not constitute endorsement of views.",124487,674153,17,320,"http://t.co/sIkkpnZFhH","CTV News",2010-10-15 15:48:42,FALSE,TRUE,"CTVNews","","en","203123011",4146,FALSE,"http://pbs.twimg.com/profile_images/378800000530407839/22101d60543a76ebf9506a60f37e1534_normal.jpeg"
"Bumbaclot91","‚Ä¢Priorities & Paychecks‚Ä¢",61025,380,21919,619,NA,"Hector The Hoe Protector",2011-12-11 08:25:18,FALSE,FALSE,"Bumbaclot91","","en","433988365",1,FALSE,"http://pbs.twimg.com/profile_images/956056619032379392/qiPxkB2k_normal.jpg"
"grimmtastic77","I LOVE SPORTS, SCIENCE AND HUMANITY",26623,306,216,38,NA,"Beverly Mathews",2012-02-06 12:36:26,FALSE,FALSE,"grimmtastic77","","en","484731323",106,FALSE,"http://pbs.twimg.com/profile_images/1817944246/e91Ui4un_normal"
"MatheusC200010","@FluminenseFC @ManUtd @acmilan @realmadrid @Lakers",20328,128,3380,290,NA,"Math",2015-07-28 19:37:48,FALSE,FALSE,"MatheusC200010","Rio de Janeiro, Brasil","pt","3392609944",1,FALSE,"http://pbs.twimg.com/profile_images/971022828354048000/gnf28PUq_normal.jpg"
"3canary","Busted arse old ratbag Liney, history/botany, RT not = endorsement 315 PPM baby, Butchalla country",69847,1354,990,1465,NA,"pawn to e1",2012-08-24 20:14:56,FALSE,FALSE,"3canary","Hervey Bay","en","778896979",90,FALSE,"http://pbs.twimg.com/profile_images/646128815190601729/nCL2bMCR_normal.jpg"
"SynuixOriginal","""Celtic is far more than a football club. The traditions, the history, the warmth - you have to experience it every day to really understand this.‚Äù           Ì†ºÌΩÄ",10315,1832,25091,2897,"https://t.co/syuMalQ9s3","Ì†ºÌΩÄMaxÌ†ºÌΩÄ",2013-10-21 20:02:12,FALSE,FALSE,"SynuixOriginal","Alba Gu Br√†th Ì†ºÌø¥Ì≠ÄÌ±ßÌ≠ÄÌ±¢Ì≠ÄÌ±≥Ì≠ÄÌ±£Ì≠ÄÌ±¥Ì≠ÄÌ±ø","en-gb","2147674680",8,FALSE,"http://pbs.twimg.com/profile_images/934941602975571968/6JbfyuXV_normal.jpg"
"nikkinomides","",115,46,214,115,NA,"Nicole Nomides",2015-05-01 01:12:22,FALSE,FALSE,"nikkinomides","Livonia, MI","en","3181173325",1,FALSE,"http://pbs.twimg.com/profile_images/593950818358792192/PMAvnu3z_normal.jpg"
"usedcars1995","11B Fort Benning Georgia home of the infantry",164585,1188,67822,152,NA,"stevenpump",2015-09-28 00:34:38,FALSE,FALSE,"usedcars1995","United States","en","3798312976",174,FALSE,"http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"montsepla","ESL, language learning resources and apps, self-access language learning centre @urvtarragona",1412,184,905,162,NA,"Montse Mart√≠nez",2010-09-21 08:18:17,FALSE,FALSE,"montsepla","","es","193216484",14,FALSE,"http://pbs.twimg.com/profile_images/1845274520/photo_Moodle_normal.JPG"
"flyingronaldo","Ì†æÌ∂åAuthor, illustrator Ronaldo the Flying Reindeer #books 4 #kids 5-10yrs Friendship, fun & a belly full of carrots https://t.co/QuKpulxbv4",48185,15873,54485,13527,"https://t.co/pCkEd3biUC","Maxine Sylvester",2016-02-23 09:05:43,FALSE,FALSE,"flyingronaldo","","en","702056734886481920",392,FALSE,"http://pbs.twimg.com/profile_images/909273238458449921/EKILxwwx_normal.jpg"
"ashertaz","",4868,43,7199,37,NA,"ashertaz",2015-03-26 07:57:35,FALSE,FALSE,"ashertaz","","en","3117674860",12,FALSE,"http://pbs.twimg.com/profile_images/609711740046020609/jB3y9lEY_normal.jpg"
"UpsideDownSev","·¥¨·¥π·¥º·¥ø ·µõ·¥µ·¥∫·∂ú·¥µ·µÄ ·¥º·¥π·¥∫·¥µ·¥¨ ‚Ä¢ i am extreme alan rickman trash",94758,1386,136461,902,"https://t.co/Z81KGUH0Wv","·¥Ä…¥…¥·¥Ä",2015-03-05 02:03:46,FALSE,FALSE,"UpsideDownSev","Hogwarts | 01-04-18","en","3071387525",63,FALSE,"http://pbs.twimg.com/profile_images/970413490761498624/FnHx7ITw_normal.jpg"
"Barman2Larry","Meet Larry Black",582,139,9,80,"https://t.co/SoraaI0CeK","Barman Tshirt Bar",2013-09-09 12:53:37,FALSE,FALSE,"Barman2Larry","Diepkloof ","en","1845422161",1,FALSE,"http://pbs.twimg.com/profile_images/378800000434063854/f2aea1251d53ef2927e402e8ae9aa235_normal.jpeg"
"DyanFinkhousen","Director of Open Innovation & Advanced Manufacturing / President GE Fuse. Crowd-powering the #FutureofWork. Redefining what's possible. Tweets are mine.",3759,1138,2485,2462,"https://t.co/zsE2w9d3bV","Dyan Finkhousen",2010-10-07 13:56:58,FALSE,FALSE,"DyanFinkhousen","","en","199681970",145,FALSE,"http://pbs.twimg.com/profile_images/895048831028441089/fifER7gq_normal.jpg"
"bryanrhysjones1","",5238,31,123,35,NA,"bryan rhys jones",2012-09-26 12:01:55,FALSE,FALSE,"bryanrhysjones1","winnipeg manitoba","en","847280989",0,FALSE,"http://pbs.twimg.com/profile_images/378800000728353068/6f98b0b3e08c53bf5ecd1b9f317fc630_normal.jpeg"
"ffc__9","@FluminenseFC te amar √© minha raiz |",5780,718,3062,949,"https://t.co/SiLWIznoWX","camis",2017-10-05 11:36:23,FALSE,FALSE,"ffc__9","Duque de Caxias, Rj","pt","915903487963262976",1,FALSE,"http://pbs.twimg.com/profile_images/971134956440256513/iwXuM7wI_normal.jpg"
"bvorka","",867,24,806,158,"http://t.co/z00mvIJ1fP","Bob Hovorka",2010-02-27 05:06:17,FALSE,FALSE,"bvorka","Sacramento, California","en","117963427",0,FALSE,"http://pbs.twimg.com/profile_images/531492766803456000/nYcGmAMI_normal.jpeg"
"ramdanzebua","ÿ£ŸÜÿß ÿ£ÿ≠ÿ®ŸÉ @pandan dan tinggal d @jlahmad yani no20 pandan @sibolga @sumatrautara  kerja di :@juwitamusik sebagai: @Penyanyi",5329,602,133,1818,"https://t.co/dBHlIByQyW","dhan azza",2013-11-09 08:09:00,FALSE,FALSE,"ramdanzebua","indonesia","id","2183864509",1,FALSE,"http://pbs.twimg.com/profile_images/836078391887441920/e4P03AUz_normal.jpg"
"Isadora_flu","989526567 Ì†ΩÌ∏è",6156,335,450,674,NA,"Isa Ì†ΩÌ¥•",2017-08-06 15:26:46,FALSE,FALSE,"Isadora_flu","Na sua rs","pt","894218196881989632",1,FALSE,"http://pbs.twimg.com/profile_images/969673015297486848/aer37Sbf_normal.jpg"
"MJMcElwee","",23469,1065,22296,959,NA,"(((Mike McElwee)))",2013-06-20 21:11:31,FALSE,FALSE,"MJMcElwee","Evanston, IL","en","1535026796",11,FALSE,"http://pbs.twimg.com/profile_images/966046105040490497/T-y2TnBE_normal.jpg"
"CarilionClinic","Carilion Clinic serves nearly 1 million people in Virginia through hospitals, outpatient specialty centers and advanced primary care practices.",11708,6005,4131,1034,"https://t.co/Ph6SHjESsf","Carilion Clinic",2008-10-02 20:39:32,FALSE,FALSE,"CarilionClinic","Roanoke, VA","en","16566310",273,FALSE,"http://pbs.twimg.com/profile_images/660818323999952896/P2L-yTOF_normal.jpg"
"OrleansParishMS","",160,36,157,238,NA,"OPMS",2017-03-22 21:43:25,FALSE,FALSE,"OrleansParishMS","","en","844665846568046599",0,FALSE,"http://pbs.twimg.com/profile_images/844667939873685506/FkQq1UQG_normal.jpg"
